#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU27638,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Lemuropisum; s__Lemuropisum_edule; ,0,0,0,0,0,0,0,2.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,7.17E-05,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,3.73E-05,3.09E-05,0,0,0,0,3.10E-05,0,0.000268863
OTU13997,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Cynodon; s__Cynodon_plectostachyus; ,6.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,2.88E-05,6.50E-05,0,0,0,0,0,0,0,0,0,7.04E-05,0,0,0,0,0,0.000268354
OTU20441,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_adoensis; ,0,0,0,0,0,0.000208768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00026215
OTU3248,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Simplicia; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04E-05,0,0,0,0,0,0.000253696
OTU18687,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; s__Setaria_parviflora; ,0,0,0,0,0,0,6.23E-05,0,4.16E-05,0,0,0,0,0,5.95E-05,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253622
OTU68299,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_robusta; ,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0.000142918,0,0,0,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253142
OTU4996,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0,0,0,0,0,0,9.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,0,0,0,0,0,0,0.000246831
OTU45773,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Chersodoma; s__Chersodoma_jodopappa; ,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189925,0.000236915
OTU879,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Chenopodium; ; s__,0,0,0,0,0,0,0,0,8.31E-05,0,0,0,0,0,0,0.000151745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023486
OTU97132,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Sporobolus; s__Sporobolus_wrightii; ,0,0,4.70E-05,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,3.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224045
OTU5379,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Orcuttia; ; s__,0,0,0,0,5.42E-05,0,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0.000104954,0,0,0,0,0,0,0,0,0,0.00022361
OTU598,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Lycium; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223248
OTU6465,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0.000108313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218774
OTU97703,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Scleropogon; s__Scleropogon_brevifolius; ,0,0,0,0,0,0,0,2.85E-05,0,6.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-05,0,0,0,0,0,0,0,0,8.61E-05,0,0,0,0,0.000217829
OTU27643,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Eragrostis; ; s__,0,0,0,0,5.42E-05,0,0,0,0,0,5.40E-05,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,8.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021642
OTU28,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0.000216111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216111
OTU81025,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Lactuca; s__Lactuca_canadensis; ,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,4.75E-05,0.000209985
OTU30744,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Taraxacum; s__Taraxacum_formosanum; ,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,4.75E-05,0.000209985
OTU71762,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_xanthophloea; ,0,0,0,4.79E-05,0,0,3.11E-05,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,3.63E-05,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0.000209089
OTU7500,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Populus; s__Populus_alba; ,0,0,0,0,0,0.000208768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208768
OTU40609,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Mutisioideae; g__Plazia; s__Plazia_daphnoides; ,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208542
OTU35328,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Leptochloa; s__Leptochloa_crinita; ,0,0,4.70E-05,0,5.42E-05,0,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,7.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207389
OTU80098,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Mutisioideae; g__Dolichlasium; s__Dolichlasium_lagascae; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53E-05,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,4.75E-05,0.000205314
OTU44623,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Euphorbiaceae; f__Euphorbioideae; g__Euphorbia; s__Euphorbia_schweinfurthii; ,0.000204778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204778
OTU35001,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_permixta; ,0,0,0,0,0,0,3.11E-05,2.85E-05,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75E-05,0.0002019
OTU55370,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; s__Muhlenbergia_arenacea; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020079,0,0,0,0.00020079
OTU5207,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Danthonioideae; g__Chionochloa; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44E-05,0,0,0,0,9.17E-05,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198591
OTU13118,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0.00013386,0,0,0,0.000191994
OTU19212,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0.00013386,0,0,0,0.000191979
OTU11348,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; s__Cenchrus_stramineus; ,0,0,0,2.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,2.53E-05,0,0,0,4.03E-05,0,0,0,0,0,3.42E-05,0,0,0,0,3.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190993
OTU90289,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Mutisioideae; g__Pachylaena; s__Pachylaena_atriplicifolia; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078
OTU3520,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078
OTU3090,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078
OTU68022,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Mimosa; s__Mimosa_sensibilis; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078
OTU13122,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0.000142918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189909
OTU10154,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Hypochaeris; ; s__,0,0,4.70E-05,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185525
OTU40589,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Inga; s__Inga_paraensis; ,0,0,0,0,0,0,0.000124502,0,0,0,0,0,0,0,5.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183985
OTU78403,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Arrhenatherum; s__Arrhenatherum_elatius; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183318
OTU65409,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,3.42E-05,0,2.88E-05,0,0,3.68E-05,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0,0.000183071
OTU42604,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Cordiaceae; f__; g__Cordia; s__Cordia_sagotii; ,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,2.88E-05,0,0,3.68E-05,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0.000180932
OTU79956,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Trilisa; s__Trilisa_paniculata; ,0,6.83E-05,0,0,5.42E-05,0,0,0,0,0,5.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176453
OTU99437,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Narenga; s__Narenga_porphyrocoma; ,0,6.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,7.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017606
OTU72962,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Piptadenia; s__Piptadenia_peruviana; ,0,0,0,0,0,0,3.11E-05,0,0,0,0,0,0.000142918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174044
OTU84387,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Santalales; o__Comandraceae; f__; g__Comandra; s__Comandra_umbellata; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173903,0,0,0,0,0,0,0,0,0.000173903
OTU54832,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Chenopodium; s__Chenopodium_opulifolium; ,0,0,0,0,0,0,0,0,0,0,0,0,0.000142918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0,0,0,0,0.000173816
OTU61471,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Pogonarthria; s__Pogonarthria_squarrosa; ,0,0,0,0,0,0,0,0,0,0,0,0,0.000142918,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017266
OTU1710,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05E-05,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000172165
OTU56272,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_mollis; ,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0,0,0,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,0,0,0,0,0,0,0.000169423
OTU82815,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Delonix; s__Delonix_regia; ,0,0,0,2.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,7.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0.000169252
OTU34969,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Delonix; s__Delonix_decaryi; ,0,0.000136537,0,0,0,0,3.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167663
OTU43621,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Hypochaeris; s__Hypochaeris_sessiliflora; ,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0,0.000162352
OTU13950,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Poa; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04E-05,0,0,0,0,0,0.000162037
OTU8630,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Boraginaceae; f__; g__Mertensia; ; s__,0,0,0,0,0,0.000104384,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161929
OTU3168,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50E-05,0.000159994
OTU1236,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Festuca; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0,0.000149627
OTU83471,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; s__Nymphaea_nouchali; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0,0.000149166
OTU40795,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Physalis; s__Physalis_philadelphica; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832
OTU102684,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Catolesia; s__Catolesia_huperzioides; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832
OTU22812,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Solanum; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832
OTU2307,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Nicotianoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832
OTU4503,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; ; s__,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147594
OTU11085,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Echinochloa; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47E-05,0,0,0,0,0,0,0,0.000146369
OTU30204,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Ceratophyllales; o__Ceratophyllaceae; f__; g__Ceratophyllum; s__Ceratophyllum_demersum; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,2.88E-05,0,4.32E-05,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0.00014249
OTU19616,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Chiliadenus; ; s__,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50E-05,0.000141953
OTU4626,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,3.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141231
OTU94337,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Euphorbiaceae; f__Euphorbioideae; g__Euphorbia; s__Euphorbia_maculata; ,0.000136519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136519
OTU16589,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Muhlenbergia; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013386,0,0,0,0.00013386
